Order_ID,Order_Date,Region,Category,Product,Customer_ID,Quantity,Discount,Revenue,COGS,Profit,Profit_Margin,Year,Month,Month_Name,Year_Month
ORD000001,2024-04-12,East,Furniture,Conference Table,CUST0113,1,0.1,495.0,315.74,179.26,0.3621414141414141,2024,4,Apr,2024-04
ORD000002,2025-03-11,West,Furniture,Desk,CUST0103,4,0.0,1280.0,952.4,327.6,0.25593750000000004,2025,3,Mar,2025-03
ORD000003,2024-09-27,South,Office Supplies,Stapler,CUST0055,6,0.1,48.6,35.39,13.21,0.27181069958847737,2024,9,Sep,2024-09
ORD000004,2024-04-16,West,Technology,Monitor,CUST0072,8,0.0,2240.0,1294.08,945.92,0.42228571428571426,2024,4,Apr,2024-04
ORD000005,2024-03-12,East,Technology,Keyboard,CUST0162,3,0.1,148.5,86.42,62.08,0.41804713804713806,2024,3,Mar,2024-03
ORD000006,2025-12-01,East,Accessories,USB Hub,CUST0165,8,0.15,190.4,146.66,43.74,0.22972689075630254,2025,12,Dec,2025-12
ORD000007,2024-01-21,South,Technology,Monitor,CUST0161,8,0.0,2240.0,1533.6,706.4,0.31535714285714284,2024,1,Jan,2024-01
ORD000008,2025-09-06,North,Technology,Keyboard,CUST0002,3,0.1,148.5,93.49,55.01,0.3704377104377104,2025,9,Sep,2025-09
ORD000009,2024-05-01,South,Accessories,Mouse,CUST0119,2,0.15,51.0,31.33,19.67,0.385686274509804,2024,5,May,2024-05
ORD000010,2025-04-11,South,Technology,Laptop,CUST0172,8,0.1,6480.0,4104.39,2375.61,0.3666064814814815,2025,4,Apr,2025-04
ORD000011,2024-08-02,West,Technology,Monitor,CUST0059,8,0.0,2240.0,1494.31,745.69,0.3328973214285715,2024,8,Aug,2024-08
ORD000012,2024-11-26,North,Accessories,USB Hub,CUST0040,2,0.0,56.0,33.03,22.97,0.4101785714285714,2024,11,Nov,2024-11
ORD000013,2025-04-03,North,Office Supplies,Notebook,CUST0154,6,0.1,64.8,40.8,24.0,0.3703703703703704,2025,4,Apr,2025-04
ORD000014,2024-03-28,East,Furniture,Office Chair,CUST0085,5,0.0,900.0,681.95,218.05,0.2422777777777778,2024,3,Mar,2024-03
ORD000015,2025-01-07,South,Accessories,Mouse,CUST0076,1,0.05,28.5,18.51,9.99,0.3505263157894737,2025,1,Jan,2025-01
ORD000016,2024-04-09,North,Technology,Monitor,CUST0168,3,0.15,714.0,533.51,180.49,0.2527871148459384,2024,4,Apr,2024-04
ORD000017,2025-10-25,East,Technology,Laptop,CUST0122,7,0.1,5670.0,4183.94,1486.06,0.2620917107583774,2025,10,Oct,2025-10
