Order_ID,Order_Date,Region,Category,Product,Customer_ID,Quantity,Discount,Revenue,COGS,Profit
ORD000001,2024-04-12,East,Furniture,Conference Table,CUST0113,1,0.1,495.0,315.74,179.26
ORD000002,2025-03-11,West,Furniture,Desk,CUST0103,4,0.0,1280.0,952.4,327.6
ORD000003,2024-09-27,South,Office Supplies,Stapler,CUST0055,6,0.1,48.6,35.39,13.21
ORD000004,2024-04-16,West,Technology,Monitor,CUST0072,8,0.0,2240.0,1294.08,945.92
ORD000005,2024-03-12,East,Technology,Keyboard,CUST0162,3,0.1,148.5,86.42,62.08
ORD000006,2025-12-01,East,Accessories,USB Hub,CUST0165,8,0.15,190.4,146.66,43.74
ORD000007,2024-01-21,South,Technology,Monitor,CUST0161,8,0.0,2240.0,1533.6,706.4
ORD000008,2025-09-06,North,Technology,Keyboard,CUST0002,3,0.1,148.5,93.49,55.01
ORD000009,2024-05-01,South,Accessories,Mouse,CUST0119,2,0.15,51.0,31.33,19.67
ORD000010,2025-04-11,South,Technology,Laptop,CUST0172,8,0.1,6480.0,4104.39,2375.61
ORD000011,2024-08-02,West,Technology,Monitor,CUST0059,8,0.0,2240.0,1494.31,745.69
ORD000012,2024-11-26,North,Accessories,USB Hub,CUST0040,2,0.0,56.0,33.03,22.97
ORD000013,2025-04-03,North,Office Supplies,Notebook,CUST0154,6,0.1,64.8,40.8,24.0
ORD000014,2024-03-28,East,Furniture,Office Chair,CUST0085,5,0.0,900.0,681.95,218.05
ORD000015,2025-01-07,South,Accessories,Mouse,CUST0076,1,0.05,28.5,18.51,9.99
ORD000016,2024-04-09,North,Technology,Monitor,CUST0168,3,0.15,714.0,533.51,180.49
ORD000017,2025-10-25,East,Technology,Laptop,CUST0122,7,0.1,5670.0,4183.94,1486.06
ORD000018,2024-05-10,North,Furniture,Desk,CUST0115,3,0.0,960.0,521.75,438.25
ORD000019,2025-10-23,West,Technology,Laptop,CUST0039,3,0.05,2565.0,1813.33,751.67
ORD000020,2024-11-04,South,Office Supplies,Stapler,CUST0056,7,0.2,50.4,27.98,22.42
ORD000021,2024-12-09,East,Technology,Printer,CUST0109,3,0.1,594.0,316.82,277.18
ORD000022,2025-05-06,West,Technology,Laptop,CUST0129,5,0.05,4275.0,2613.74,1661.26
ORD000023,2025-02-17,East,Furniture,Bookshelf,CUST0108,1,0.0,210.0,153.92,56.08
ORD000024,2025-01-20,North,Office Supplies,Stapler,CUST0049,4,0.05,34.2,18.6,15.6
ORD000025,2024-07-10,East,Technology,Monitor,CUST0083,1,0.0,280.0,185.05,94.95
ORD000026,2024-10-03,West,Office Supplies,Notebook,CUST0025,5,0.1,54.0,40.0,14.0
ORD000027,2024-06-09,North,Accessories,USB Hub,CUST0032,2,0.0,56.0,38.87,17.13
ORD000028,2025-04-04,West,Office Supplies,Paper,CUST0014,2,0.1,14.4,10.92,3.48
ORD000029,2024-11-09,South,Technology,Keyboard,CUST0082,8,0.0,440.0,277.05,162.95
ORD000030,2024-01-22,West,Office Supplies,Pen Set,CUST0014,2,0.1,27.0,18.56,8.44
ORD000031,2024-09-09,East,Office Supplies,Paper,CUST0168,5,0.0,40.0,28.04,11.96
ORD000032,2025-07-14,North,Furniture,Bookshelf,CUST0153,7,0.15,1249.5,824.65,424.85
ORD000033,2025-04-19,West,Office Supplies,Notebook,CUST0170,2,0.15,20.4,12.82,7.58
ORD000034,2024-02-28,West,Accessories,Webcam,CUST0123,5,0.05,403.75,307.85,95.9
ORD000035,2025-05-25,North,Accessories,USB Hub,CUST0016,1,0.05,26.6,17.15,9.45
ORD000036,2025-11-12,South,Accessories,Webcam,CUST0133,6,0.05,484.5,305.02,179.48
ORD000037,2025-04-20,North,Office Supplies,Notebook,CUST0146,6,0.05,68.4,50.73,17.67
ORD000038,2025-11-30,South,Technology,Laptop,CUST0049,5,0.2,3600.0,2272.4,1327.6
ORD000039,2024-07-08,North,Furniture,Conference Table,CUST0124,2,0.1,990.0,581.46,408.54
ORD000040,2025-11-17,West,Furniture,Conference Table,CUST0153,8,0.05,4180.0,2840.26,1339.74
ORD000041,2025-07-16,North,Office Supplies,Pen Set,CUST0110,4,0.15,51.0,29.58,21.42
ORD000042,2025-07-20,South,Technology,Monitor,CUST0006,1,0.0,280.0,202.35,77.65
ORD000043,2024-08-31,West,Accessories,Headset,CUST0061,1,0.1,58.5,39.5,19.0
ORD000044,2025-05-19,West,Technology,Keyboard,CUST0013,6,0.2,264.0,198.88,65.12
ORD000045,2024-05-10,North,Technology,Keyboard,CUST0105,4,0.1,198.0,107.67,90.33
ORD000046,2025-04-29,North,Furniture,Bookshelf,CUST0170,1,0.0,210.0,155.73,54.27
ORD000047,2025-10-08,West,Accessories,USB Hub,CUST0038,3,0.0,84.0,52.6,31.4
ORD000048,2024-01-21,North,Technology,Laptop,CUST0028,2,0.0,1800.0,1039.05,760.95
ORD000049,2024-06-15,North,Technology,Laptop,CUST0067,5,0.05,4275.0,2881.46,1393.54
ORD000050,2024-09-30,East,Furniture,Desk,CUST0147,5,0.05,1520.0,1137.63,382.37
ORD000051,2025-01-22,West,Accessories,USB Hub,CUST0045,3,0.0,84.0,50.97,33.03
ORD000052,2025-08-23,North,Office Supplies,Stapler,CUST0045,3,0.1,24.3,13.64,10.66
ORD000053,2024-11-11,West,Accessories,Webcam,CUST0158,2,0.0,170.0,103.21,66.79
ORD000054,2024-01-14,West,Accessories,Headset,CUST0013,6,0.1,351.0,206.13,144.87
ORD000055,2024-08-29,East,Office Supplies,Notebook,CUST0088,8,0.05,91.2,62.46,28.74
ORD000056,2024-12-11,North,Accessories,USB Hub,CUST0063,6,0.0,168.0,106.24,61.76
ORD000057,2025-07-18,West,Furniture,Bookshelf,CUST0068,5,0.1,945.0,534.09,410.91
ORD000058,2024-12-05,West,Furniture,Office Chair,CUST0120,1,0.1,162.0,98.81,63.19
ORD000059,2024-04-01,West,Technology,Monitor,CUST0180,7,0.2,1568.0,1120.98,447.02
ORD000060,2025-01-01,North,Office Supplies,Paper,CUST0179,1,0.05,7.6,4.92,2.68
ORD000061,2025-03-30,South,Technology,Keyboard,CUST0099,6,0.05,313.5,239.99,73.51
ORD000062,2025-03-03,East,Furniture,Bookshelf,CUST0130,5,0.1,945.0,545.64,399.36
ORD000063,2025-05-23,East,Office Supplies,Pen Set,CUST0092,3,0.15,38.25,29.47,8.78
ORD000064,2024-02-04,South,Office Supplies,Paper,CUST0131,3,0.2,19.2,13.78,5.42
ORD000065,2024-07-24,West,Furniture,Desk,CUST0025,7,0.1,2016.0,1153.34,862.66
ORD000066,2024-03-21,West,Office Supplies,Stapler,CUST0145,8,0.1,64.8,36.38,28.42
ORD000067,2025-07-15,West,Technology,Printer,CUST0093,6,0.1,1188.0,623.28,564.72
ORD000068,2025-01-22,West,Technology,Laptop,CUST0153,2,0.1,1620.0,1177.9,442.1
ORD000069,2024-01-02,North,Technology,Keyboard,CUST0176,4,0.0,220.0,146.34,73.66
ORD000070,2025-01-24,East,Furniture,Bookshelf,CUST0139,5,0.05,997.5,725.55,271.95
ORD000071,2025-07-19,North,Accessories,Mouse,CUST0095,2,0.1,54.0,33.63,20.37
ORD000072,2024-04-15,East,Office Supplies,Paper,CUST0011,1,0.2,6.4,4.84,1.56
